website,emails,phone_numbers,Contact_pages,Legal_pages,AboutUs_pages,candidate_description
https://www.grofit.eu/,{'hi@grofit.eu'},,[],[],[],Connecting impact investors with sustainable energy projects
https://www.corrosionradar.com/,"{'hr@corrosionradar.com', 'info@corrosionradar.com'}",,[],[],[],The Corrosion Under Insulation Solution
https://www.codioimpact.com/,"{'jobs@codioimpact.com', 'tilman@codioimpact.com', 'info@codioimpact.com', 'sonja@codioimpact.com'}",{'+491713186381'},['https://www.codioimpact.com//contact'],['https://www.codioimpact.com//privacy-policy'],['https://www.codioimpact.com//about-us'],This website uses cookies
https://app.wasteout.ru/,,,[],[],[],
https://www.agrionica.com/,,,[],[],[],Недостаточно средств на аккаунте
https://www.cyberquant.org/,"{'contact@cyberquant.com', 'kontakt@spacedigitalgroup.com'}","{'+48606933102', '+48574121782'}",[],['https://www.cyberquant.org//privacy-policy'],[],Take control of  your cyber security.
https://plumetec.it/,{'srl@legalmail.it'},"{'+390264482393', '+390264482314', '+390264482391'}","['https://plumetec.it/contatti-informazioni-servizi-tecnologia-plasma/#modulo_contatto', 'https://plumetec.it/contatti-informazioni-servizi-tecnologia-plasma', 'https://plumetec.it/en/contacts-information-services-plasma-technology']","['https://plumetec.it/privacy-cookies-policy/', 'https://plumetec.it/strumenti-privacy', 'https://plumetec.it/disclaimer-contenuti-immagini-note-legali/', 'https://plumetec.it/en/privacy-tools']","['https://plumetec.it/chi-siamo-mission-aziendale', 'https://plumetec.it/en/about-us-company-mission-our-team']",RICERCA & SVILUPPO
https://www.ilovesnacks.co.uk/,"{'info@ilovesnacks.co.uk', 'office@ilovesnacks.co.uk'}","{'09178679', '197624269'}",['https://www.ilovesnacks.co.uk/contact/'],"['https://www.ilovesnacks.co.uk/privacy-policy/', 'https://www.ilovesnacks.co.uk/terms-conditions/', 'https://www.ilovesnacks.co.uk/legal-information/']",['https://www.ilovesnacks.co.uk/about/'],Snacks For Every Occasion
https://www.tukea.de/,"{'datenschutz@jimdo.com', 'info@tukea.de', 'Datenschutz@jimdo.com'}",,['https://www.tukea.de//impressum/'],['https://www.tukea.de//datenschutz/'],[],Was ist TUKEA?
https://www.birch.earth/,{'info@birch.earth'},,[],"['https://www.birch.earth/terms-and-conditions/', 'https://www.birch.earth/privacy-policy/']",[],All carbon credits listed for sale via the marketplace are 100% verified and registered on public carbon registries.
http://benefacto.de/,{'info@benefacto.de'},{'+493060935653'},['http://benefacto.de/impressum/'],[],[],No current jobs
https://www.circolution.com/,"{'info@circolution.com', 'frieda@circolution.com', 'max@circolution.com', 'jan@circolution.com', 'alessandro@circolution.com', 'marina@circolution.com', 'kirils@circolution.com', 'duenya@circolution.com'}",{'+491748995096'},['https://www.circolution.com/contact'],[],['https://www.circolution.com/about-us'],Until November 2021
https://innova.co.uk/,"{'info@innovacapital.co.uk', 'Kristianne@innova.co.uk', 'bellamy@octoenergy.com'}","{'+441242', '+442045308369', '+442045', '+441242436630'}",['https://innova.co.uk/contact/'],[],[],Our Group Companies
https://www.tinyfoods.nl/,{'info@tinyfoods.nl'},{'0341842121'},[],[],[],De lekkerste eetbare insecten van Nederland bij Tinyfoods! 
https://www.bioomix.com/,"{'shs@bioomix.com', 'moa@bioomix.com', 'mp@bioomix.com', 'rca@bioomix.com', 'info@bioomix.com', 'jma@bioomix.com', 'fm@bioomix.com', 'zs@bioomix.com', 'ctv@bioomix.com', 'rsj@bioomix.com'}",{'+4552114513'},['https://www.bioomix.com/contact'],[],['https://www.bioomix.com/about'],Interested in knowing more?
https://www.withdelve.com/,,,[],[],[],Sign up now to get early access!
